name,symbol,market_cap,category
Bitcoin,btc,1860803236307,Smart Contract Platform | Layer 1 (L1) | Proof of Work (PoW) | Bitcoin Ecosystem
Ethereum,eth,369361160428,Smart Contract Platform | Layer 1 (L1) | Ethereum Ecosystem | Proof of Stake (PoS) | World Liberty Financial Portfolio
Tether,usdt,183994072190,Stablecoins | USD Stablecoin | Solana Ecosystem | Avalanche Ecosystem | Near Protocol Ecosystem | Celo Ecosystem | Ethereum Ecosystem | Tezos Ecosystem | Kaia Ecosystem | Aptos Ecosystem | TON Ecosystem | Tron Ecosystem | Kava Ecosystem | Fiat-backed Stablecoin | World Liberty Financial Portfolio
XRP,xrp,131257945244,XRP Ledger Ecosystem | Made in USA
BNB,bnb,125765666038,Smart Contract Platform | Exchange-based Tokens | BNB Chain Ecosystem | Centralized Exchange (CEX) Token | Layer 1 (L1) | Ethereum Ecosystem | Alleged SEC Securities | Proof of Stake (PoS) | Made in China
Solana,sol,75257970906,Smart Contract Platform | Solana Ecosystem | Layer 1 (L1) | Alleged SEC Securities | Proof of Stake (PoS) | Made in USA
USDC,usdc,74857279567,Stablecoins | USD Stablecoin | Solana Ecosystem | Avalanche Ecosystem | Polygon Ecosystem | Near Protocol Ecosystem | Arbitrum Ecosystem | Celo Ecosystem | Moonriver Ecosystem | Ethereum Ecosystem | XDC Ecosystem | Algorand Ecosystem | Optimism Ecosystem | Aptos Ecosystem | Sui Ecosystem | Base Ecosystem | Tron Ecosystem | Hedera Ecosystem | Stellar Ecosystem | XRP Ledger Ecosystem | Sonic Ecosystem | Fiat-backed Stablecoin | Sei Network Ecosystem | World Chain Ecosystem | World Liberty Financial Portfolio | Ink Ecosystem | Made in USA | Unichain Ecosystem | HyperEVM Ecosystem | Plume Network Ecosystem
TRON,trx,27590816556,Smart Contract Platform | Layer 1 (L1) | Alleged SEC Securities | Tron Ecosystem | Proof of Stake (PoS) | World Liberty Financial Portfolio | Made in China
Lido Staked Ether,steth,26372532410,Decentralized Finance (DeFi) | Liquid Staking Tokens | Ethereum Ecosystem | Liquid Staked ETH | Liquid Staking
Dogecoin,doge,23608697160,Smart Contract Platform | Meme | Dog-Themed | Elon Musk-Inspired | Proof of Work (PoW) | 4chan-Themed
