Symbol	Description
A6Y0	
ADY0	
AEDAUD	UAE Dirham / Australian Dollar
AEDBHD	
AEDCAD	AED / CAD
AEDCHF	UAE Dirham / Swiss Franc
AEDDKK	AED / DKK
AEDEUR	AED / EUR
AEDGBP	UAE Dirham / British Pound
AEDINR	AED / INR
AEDJPY	UAE Dirham / Japanese Yen
AEDNOK	AED / NOK
AEDNZD	AED / NZD
AEDPKR	UAE Dirham / Pakistani Rupee
AEDSAR	AED / SAR
AEDSEK	AED / SEK
AEDUSD	UAE Dirham / US Dollar
AEDZAR	AED / ZAR
AFNGBP	
ALLEUR	
ALLGBP	ALL / GBP
ALLUSD	
AMDGBP	
ARSAUD	ARS / AUD
ARSBRL	ARS / BRL
ARSCAD	ARS / CAD
ARSCHF	ARS / CHF
ARSCLP	
ARSCOP	
ARSEUR	ARS / EUR
ARSGBP	ARS / GBP
ARSHKD	ARS / HKD
ARSJPY	ARS / JPY
ARSMXN	ARS / MXN
ARSPEN	
ARSSGD	ARS / SGD
ARSUSD	Argentinian Peso / US Dollar
ARSZAR	ARS / ZAR
AUDAED	AUD / AED
AUDARS	AUD / ARS
AUDBGN	
AUDBRL	AUD / BRL
AUDCAD	AUD / CAD
AUDCAD.O	
AUDCAD.S	
AUDCHF	AUD / CHF
AUDCHF.A	
AUDCLP	
AUDCNH	AUD / CNH
AUDCNY	AUD / CNY
AUDCZK	AUD / CZK
AUDDKK	AUD / DKK
AUDEUR	AUD / EUR
AUDFJD	AUD / FJD
AUDGBP	AUD / GBP
AUDHKD	AUD / HKD
AUDHUF	AUD / HUF
AUDIDR	AUD / IDR
AUDILS	AUD / ILS
AUDINR	AUD / INR
AUDJPY	AUD / JPY
AUDKRW	AUD / KRW
AUDMAD	
AUDMXN	AUD / MXN
AUDMYR	AUD / MYR
AUDNOK	AUD / NOK
AUDNZD	AUD / NZD
AUDNZD.A	
AUDPGK	
AUDPHP	AUD / PHP
AUDPKR	Australian Dollar / Pakistani Rupee
AUDPLN	AUD / PLN
AUDSEK	AUD / SEK
AUDSGD	AUD / SGD
AUDTHB	AUD / THB
AUDTRY	AUD / TRY
AUDTWD	AUD / TWD
AUDUSD	AUD / USD
AUDUSD.1	
AUDUSD.2	
AUDUSD.3	
AUDUSD.6	
AUDUSD.A	
AUDUSD.B	
AUDUSD.C	
AUDUSD.D	
AUDUSD.E	
AUDUSD.G	
AUDUSD.H	
AUDUSD.J	
AUDUSD.K	
AUDUSD.M	
AUDUSD.N	
AUDUSD.O	
AUDUSD.Q	
AUDUSD.S	
AUDUSD.U	
AUDUSD.V	
AUDUSD.X	
AUDZAR	AUD / ZAR
AWGGBP	
AWGUSD	AWG / USD
B6Y0	
BAMGBP	
BAMUSD	
BBDEUR	
BBDGBP	
BBDUSD	
BDTGBP	BDT / GBP
BDTJPY	BDT / JPY
BDTUSD	
BGNAUD	
BGNCAD	
BGNCNY	BGN / CNY
BGNDKK	BGN / DKK
BGNUSD	BGN / USD
BHDEUR	BHD / EUR
BHDPKR	Baharain Dinar / Pakistani Rupee
BHDUSD	BHD / USD
BIFUSD	
BMDBBD	
BMDCAD	
BMDEUR	
BMDGBP	
BMDKYD	
BNDGBP	BND / GBP
BNDUSD	
BOBGBP	
BOBUSD	
BPY0	
BRLARS	BRL / ARS
BRLAUD	BRL / AUD
BRLCAD	BRL / CAD
BRLCHF	BRL / CHF
BRLCLP	BRL / CLP
BRLCNY	
BRLCOP	
BRLDKK	BRL / DKK
BRLEUR	BRL / EUR
BRLHKD	BRL / HKD
BRLJPY	BRL / JPY
BRLKRW	BRL / KRW
BRLMXN	BRL / MXN
BRLPEN	
BRLRSD	
BRLRUB	BRL / RUB
BRLSEK	BRL / SEK
BRLSGD	BRL / SGD
BRLUSD	BRL / USD
BRLZAR	BRL / ZAR
BSDGBP	
BSDUSD	
BTNGBP	
BTNUSD	
BWPCHF	BWP / CHF
BWPEUR	BWP / EUR
BWPGBP	BWP / GBP
BWPUSD	BWP / USD
BWPZAR	BWP / ZAR
BZDUSD	
CADAED	CAD / AED
CADARS	CAD / ARS
CADAUD	CAD / AUD
CADBGN	
CADBMD	
CADBRL	CAD / BRL
CADCHF	CAD / CHF
CADCHF.A	
CADCHF.C	
CADCHF.S	
CADCNH	CAD / CNH
CADCNY	CAD / CNY
CADCOP	Canadian Dollar / Colombian Peso
CADCZK	
CADDKK	CAD / DKK
CADEUR	CAD / EUR
CADGBP	CAD / GBP
CADHKD	CAD / HKD
CADHUF	
CADIDR	CAD / IDR
CADILS	CAD / ILS
CADINR	CAD / INR
CADJPY	CAD / JPY
CADJPY.A	
