name,symbol,market_cap
Bitcoin,BTC,2035926335415
Ethereum,ETH,413587098559
Tether,USDT,183989760382
XRP,XRP,144354939211
BNB,BNB,131559406652
Solana,SOL,84858253316
USDC,USDC,76057745981
Lido Staked Ether,STETH,29569374713
TRON,TRX,27916306035
Dogecoin,DOGE,25963120546
Cardano,ADA,20201889723
Figure Heloc,FIGR_HELOC,13785478487
Wrapped stETH,WSTETH,13665422525
Wrapped Bitcoin,WBTC,12917490857
Wrapped Beacon ETH,WBETH,12117117234
WhiteBIT Coin,WBT,11730417023
Chainlink,LINK,10647780100
Hyperliquid,HYPE,10476131197
Bitcoin Cash,BCH,10314340359
USDS,USDS,9236182308
Stellar,XLM,9003375054
Binance Bridged USDT (BNB Smart Chain),BSC-USD,8978083302
Wrapped eETH,WEETH,8960304042
Zcash,ZEC,8563149709
LEO Token,LEO,8425941284
WETH,WETH,8373578500
Ethena USDe,USDE,8279883172
Litecoin,LTC,7546229640
Coinbase Wrapped BTC,CBBTC,7479871590
Hedera,HBAR,7471745973
Sui,SUI,7309684570
Avalanche,AVAX,7286780278
Monero,XMR,7242792642
Shiba Inu,SHIB,5657867310
Toncoin,TON,5019126120
Uniswap,UNI,4861281223
Polkadot,DOT,4819295358
Canton,CC,4726055316
Dai,DAI,4555814077
Ethena Staked USDe,SUSDE,4552283085
Cronos,CRO,4536796725
MemeCore,M,4179682958
Mantle,MNT,4138135419
World Liberty Financial,WLFI,3954298928
USDT0,USDT0,3882949887
sUSDS,SUSDS,3752611695
Internet Computer,ICP,3439339206
Bittensor,TAO,3380700993
PayPal USD,PYUSD,3316760991
NEAR Protocol,NEAR,3237045476
Aave,AAVE,3143492672
Bitget Token,BGB,2850952643
USD1,USD1,2846944204
OKB,OKB,2614083281
Currency One USD,C1USD,2550254072
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,2524012248
Pepe,PEPE,2426521916
Ethereum Classic,ETC,2377973213
Pump.fun,PUMP,2358686931
Ethena,ENA,2309754416
Aster,ASTER,2258694248
Aptos,APT,2229373526
Jito Staked SOL,JITOSOL,2185405132
Tether Gold,XAUT,2177184563
Falcon USD,USDF,2110605558
Binance-Peg WETH,WETH,2074789292
Jupiter Perpetuals Liquidity Provider Token,JLP,2051571328
Ondo,ONDO,2035519960
Wrapped SOL,SOL,1981795312
Pi Network,PI,1879063473
POL (ex-MATIC),POL,1801961463
Worldcoin,WLD,1756340436
HTX DAO,HTX,1682120350
KuCoin,KCS,1679368904
Provenance Blockchain,HASH,1661888701
Filecoin,FIL,1560623235
USDtb,USDTB,1533011414
Algorand,ALGO,1529255546
Official Trump,TRUMP,1512763980
Rocket Pool ETH,RETH,1497344743
Arbitrum,ARB,1442949416
VeChain,VET,1432088961
Binance Staked SOL,BNSOL,1409956823
Cosmos Hub,ATOM,1395452333
PAX Gold,PAXG,1391603289
Gate,GT,1374511042
Sky,SKY,1351049033
Kaspa,KAS,1347814202
syrupUSDT,SYRUPUSDT,1332596628
BFUSD,BFUSD,1319529021
Kinetiq Staked HYPE,KHYPE,1306515788
Binance Bridged USDC (BNB Smart Chain),USDC,1288683213
Wrapped BNB,WBNB,1275834222
Kelp DAO Restaked ETH,RSETH,1233849956
Story,IP,1229683438
Function FBTC,FBTC,1224577221
syrupUSDC,SYRUPUSDC,1223465115
Render,RENDER,1209451645
Flare,FLR,1206228239
Lombard Staked BTC,LBTC,1201335920
Quant,QNT,1198280232
Liquid Staked ETH,LSETH,1158048578
Sei,SEI,1095777298
Jupiter,JUP,1081060024
NEXO,NEXO,1080755432
Ripple USD,RLUSD,1075003588
Morpho,MORPHO,1069768292
Global Dollar,USDG,1056066672
Renzo Restaked ETH,EZETH,1045814275
Solv Protocol BTC,SOLVBTC,1026831067
Circle USYC,USYC,1014509713
XDC Network,XDC,1013262909
Bonk,BONK,1003335903
First Digital USD,FDUSD,978800346
Pudgy Penguins,PENGU,907596337
Aerodrome Finance,AERO,894206228
Fasttoken,FTN,864268257
Mantle Staked Ether,METH,855769042
Dash,DASH,843623091
PancakeSwap,CAKE,841727302
Virtuals Protocol,VIRTUAL,840501296
Arbitrum Bridged WBTC (Arbitrum One),WBTC,829093009
Immutable,IMX,828230937
Artificial Superintelligence Alliance,FET,817373388
Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,811653834
Rain,RAIN,789753691
clBTC,CLBTC,785799616
OUSG,OUSG,783565286
Celestia,TIA,769762728
Optimism,OP,767265410
Stacks,STX,733862596
Jupiter Staked SOL,JUPSOL,728447155
Injective,INJ,726129040
Lido DAO,LDO,716827958
StakeWise Staked ETH,OSETH,696977511
Ondo US Dollar Yield,USDY,689971875
The Graph,GRT,670950165
cgETH Hashkey Cloud,CGETH.HASHKEY,656753748
Curve DAO,CRV,648072019
Tezos,XTZ,626326680
Starknet,STRK,623657970
Beldex,BDX,618279459
L2 Standard Bridged WETH (Base),WETH,618004306
SPX6900,SPX,611094229
tBTC,TBTC,605715103
Polygon PoS Bridged DAI (Polygon POS),DAI,594778717
Decred,DCR,588442730
SOON,SOON,587800829
IOTA,IOTA,586009551
DoubleZero,2Z,581191232
USDai,USDAI,581006572
Polygon Bridged USDC (Polygon PoS),USDC.E,580059469
Pyth Network,PYTH,577662493
Marinade Staked SOL,MSOL,574366958
Kaia,KAIA,573165890
FLOKI,FLOKI,572574170
Arbitrum Bridged WETH (Arbitrum One),WETH,559007296
AB,AB,552906167
Usual USD,USD0,545944142
Sonic,S,537850293
Ether.fi,ETHFI,532844950
Ether.Fi Liquid ETH,LIQUIDETH,532454914
Ethereum Name Service,ENS,530417042
GTETH,GTETH,528815442
Stader ETHx,ETHX,528417586
The Sandbox,SAND,515165472
Mantle Bridged USDT (Mantle),USDT,508602695
Maple Finance,SYRUP,502634882
Trust Wallet,TWT,498822883
Plasma,XPL,496136467
Conflux,CFX,496062416
TrueUSD,TUSD,492913699
MYX Finance,MYX,477967022
Bitcoin SV,BSV,471311885
Steakhouse USDC Morpho Vault,STEAKUSDC,463515706
Coinbase Wrapped Staked ETH,CBETH,462839404
ether.fi Staked ETH,EETH,462813031
BitTorrent,BTT,461715041
Telcoin,TEL,459254246
Swell Ethereum,SWETH,455092516
GALA,GALA,452947830
dogwifhat,WIF,451886767
sBTC,SBTC,451172344
Theta Network,THETA,450564976
JasmyCoin,JASMY,449462341
Helium,HNT,439015051
Binance-Peg Dogecoin,DOGE,438920052
Flow,FLOW,438823125
GHO,GHO,437806420
Pendle,PENDLE,436469529
Avalanche Bridged BTC (Avalanche),BTC.B,433331288
Vaulta,A,430709793
BENQI Liquid Staked AVAX,SAVAX,430522450
Decentraland,MANA,426244249
Sun Token,SUN,425673010
Spiko EU T-Bills Money Market Fund,EUTBL,417313620
Raydium,RAY,412228478
USDB,USDB,408507728
Wrapped HYPE,WHYPE,403722206
USDD,USDD,400001746
AINFT,NFT,395263274
Merlin Chain,MERL,391514930
MimbleWimbleCoin,MWC,383929067
Arbitrum Bridged Wrapped eETH (Arbitrum),WEETH,380418608
Aethir,ATH,375853175
Polygon PoS Bridged WETH (Polygon POS),WETH,370836573
Concordium,CCD,368689498
JUST,JST,362946147
Aster Staked BNB,ASBNB,359176359
Ape and Pepe,APEPE,356783904
ZKsync,ZK,356675941
NEO,NEO,353721566
DeXe,DEXE,350937969
Frax Ether,FRXETH,344470467
Olympus,OHM,343405662
ApeCoin,APE,342393032
Mantle Restaked ETH,CMETH,340831197
Ribbita by Virtuals,TIBBIR,339324980
Unit Bitcoin,UBTC,335071514
Walrus,WAL,334647575
Lorenzo Wrapped Bitcoin,ENZOBTC,333832849
Chiliz,CHZ,329220668
EigenCloud (prev. EigenLayer),EIGEN,325317517
Kinesis Gold,KAU,322836680
Arweave,AR,322243745
Compound,COMP,321364562
OriginTrail,TRAC,320474183
Gnosis,GNO,320165099
Kinetiq Earn Vault,VKHYPE,319337827
SwissBorg,BORG,318890880
Zebec Network,ZBCN,315686931
Binance-Peg BUSD,BUSD,312246494
Falcon Finance,FF,309881200
Vision,VSN,309190350
Humanity,H,304825356
Fluid,FLUID,302641519
Wormhole,W,300645312
Zora,ZORA,299789107
Basic Attention,BAT,297985436
EURC,EURC,296980857
Satoshi Stablecoin,SATUSD,296703911
1INCH,1INCH,293856607
Jito,JTO,289572070
Ethena Staked ENA,SENA,287787225
ETHPlus,ETH+,285491196
Legacy Frax Dollar,FRAX,284865658
eCash,XEC,284647592
Treehouse ETH,TETH,282278293
Mantle Bridged WETH (Mantle),WETH,282047731
Fartcoin,FARTCOIN,281894725
0G,0G,279220357
Moca Network,MOCA,278986786
USX,USX,278491431
THORChain,RUNE,273554434
Synthetix,SNX,271087633
crvUSD,CRVUSD,269813375
MultiversX,EGLD,267697285
Loaded Lions,LION,263954974
Drift Staked SOL,DSOL,262311167
Reserve Rights,RSR,261184066
WEMIX,WEMIX,254955490
Polygon Bridged WBTC (Polygon POS),WBTC,254154862
dYdX,DYDX,249021077
Cheems Token,CHEEMS,247541706
Savings Dai,SDAI,245398742
Noble USDC,USDC.N,244578473
Undeads Games,UDS,244192548
Resolv USR,USR,240467139
Wrapped AVAX,WAVAX,240373729
Zano,ZANO,237744256
Onyxcoin,XCN,236838836
Staked Frax Ether,SFRXETH,235449248
Fidelity Digital Interest Token,FDIT,235380681
Bybit Staked SOL,BBSOL,234921639
Horizen,ZEN,234571487
AtomOne,ATONE,233100164
Livepeer,LPT,231617936
cWBTC,CWBTC,231226398
Golem,GLM,230441931
Railgun,RAIL,224479157
Blockchain Capital,BCAP,224334116
Axie Infinity,AXS,222022629
Meteora,MET,221396745
USDa,USDA,220963004
OpenEden OpenDollar,USDO,220867459
Beam,BEAM,218682822
Brett,BRETT,217330973
Amp,AMP,217238417
Berachain,BERA,210543901
Solv Protocol Staked BTC,XSOLVBTC,209187048
Linea,LINEA,208773858
Core,CORE,207762195
Toshi,TOSHI,207485322
KAITO,KAITO,206846602
Creditcoin,CTC,204502203
SuperVerse,SUPER,204181390
Cap USD,CUSD,202891441
Resolv wstUSR,WSTUSR,202544308
Midas msyrupUSDp,MSYRUPUSDP,202215326
Ronin,RON,199259034
Kinesis Silver,KAG,198936669
Compounding OpenDollar,CUSDO,198693605
AIOZ Network,AIOZ,198100324
Qtum,QTUM,196720809
Kamino,KMNO,195856422
MX,MX,195830382
BTSE Token,BTSE,195092948
RealLink,REAL,193706562
Legacy Token,LGCT,192538738
Kusama,KSM,190581862
