CODE,BASE_CURRENCY,QUOTE_CURRENCY
AEDAUD,AED,AUD
AEDBHD,AED,BHD
AEDCAD,AED,CAD
AEDCHF,AED,CHF
AEDDKK,AED,DKK
AEDEUR,AED,EUR
AEDGBP,AED,GBP
AEDINR,AED,INR
AEDJPY,AED,JPY
AEDNOK,AED,NOK
AEDNZD,AED,NZD
AEDPKR,AED,PKR
AEDSAR,AED,SAR
AEDSEK,AED,SEK
AEDUSD,AED,USD
AEDZAR,AED,ZAR
AFNGBP,AFN,GBP
ALLEUR,ALL,EUR
ALLGBP,ALL,GBP
ALLUSD,ALL,USD
AMDGBP,AMD,GBP
ARSAUD,ARS,AUD
ARSBRL,ARS,BRL
ARSCAD,ARS,CAD
ARSCHF,ARS,CHF
ARSCLP,ARS,CLP
ARSCOP,ARS,COP
ARSEUR,ARS,EUR
ARSGBP,ARS,GBP
ARSHKD,ARS,HKD
ARSJPY,ARS,JPY
ARSMXN,ARS,MXN
ARSPEN,ARS,PEN
ARSSGD,ARS,SGD
ARSUSD,ARS,USD
ARSZAR,ARS,ZAR
AUDAED,AUD,AED
AUDARS,AUD,ARS
AUDBGN,AUD,BGN
AUDBRL,AUD,BRL
AUDCAD,AUD,CAD
AUDCHF,AUD,CHF
AUDCLP,AUD,CLP
AUDCNH,AUD,CNH
AUDCNY,AUD,CNY
AUDCZK,AUD,CZK
AUDDKK,AUD,DKK
AUDEUR,AUD,EUR
AUDFJD,AUD,FJD
AUDGBP,AUD,GBP
AUDHKD,AUD,HKD
AUDHUF,AUD,HUF
AUDIDR,AUD,IDR
AUDILS,AUD,ILS
AUDINR,AUD,INR
AUDJPY,AUD,JPY
AUDKRW,AUD,KRW
AUDMAD,AUD,MAD
AUDMXN,AUD,MXN
AUDMYR,AUD,MYR
AUDNOK,AUD,NOK
AUDNZD,AUD,NZD
AUDPGK,AUD,PGK
AUDPHP,AUD,PHP
AUDPKR,AUD,PKR
AUDPLN,AUD,PLN
AUDSEK,AUD,SEK
AUDSGD,AUD,SGD
AUDTHB,AUD,THB
AUDTRY,AUD,TRY
AUDTWD,AUD,TWD
AUDUSD,AUD,USD
AUDZAR,AUD,ZAR
AWGGBP,AWG,GBP
AWGUSD,AWG,USD
BAMGBP,BAM,GBP
BAMUSD,BAM,USD
BBDEUR,BBD,EUR
BBDGBP,BBD,GBP
BBDUSD,BBD,USD
BDTGBP,BDT,GBP
BDTJPY,BDT,JPY
BDTUSD,BDT,USD
BGNAUD,BGN,AUD
BGNCAD,BGN,CAD
BGNCNY,BGN,CNY
BGNDKK,BGN,DKK
BGNUSD,BGN,USD
BHDEUR,BHD,EUR
BHDPKR,BHD,PKR
BHDUSD,BHD,USD
